objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Dragonfire","226501","0","","0","0","0","0","0","0","0","0","1","4","","","","","","44857614","6.38031","7.25335","3.2179","1273","5014","thing","Dragonfire","2","6","90","90","60","2017","1,2,3,4,5","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Dungeon Petz","97207","7","2","0","0","0","0","0","0","1","0","0","3","","","","","","29414628","7.23079","7.46101","3.6167","225","17166","thing","Dungeon Petz","2","4","90","90","90","2011","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dungeons & Dragons Dice Masters: Battle for Faerûn","160902","0","","0","1","0","0","0","0","0","0","0","1","","","","","","32694588","6.31409","7.25702","2.1864","1422","3536","thing","Dungeons & Dragons Dice Masters: Battle for Faerûn","2","2","60","60","30","2015","2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Dungeons & Dragons: Attack Wing","155689","7","4","0","1","0","0","0","0","0","0","0","3","","","","","","29303130","5.88056","7.20018","2.9355","3138","1556","thing","Dungeons & Dragons: Attack Wing","2","99","30","30","30","2014","2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dungeons & Dragons: Attack Wing – Frost Giant Expansion Pack","161305","0","","0","1","0","0","0","0","0","0","0","3","","","","","","29329807","5.54903","7.39545","2","0","368","thing","Dungeons & Dragons: Attack Wing – Frost Giant Expansion Pack","2","99","30","30","30","2014","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Dungeons & Dragons: Attack Wing – Green Dragon Expansion Pack","161291","0","","0","1","0","0","0","0","0","0","0","3","","","","","","29329804","5.5589","7.34483","2.5","0","431","thing","Dungeons & Dragons: Attack Wing – Green Dragon Expansion Pack","2","99","30","30","30","2014","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Dungeons & Dragons: Attack Wing – Hobgoblin Troop Expansion Pack","161307","0","","0","1","0","0","0","0","0","0","0","3","","","","","","29329817","5.53814","7.08837","2","0","328","thing","Dungeons & Dragons: Attack Wing – Hobgoblin Troop Expansion Pack","2","99","30","30","30","2014","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Dungeons & Dragons: Attack Wing – Sun Elf Troop Expansion Pack","161306","0","","0","1","0","0","0","0","0","0","0","3","","","","","","29329809","5.53171","6.885","2","0","337","thing","Dungeons & Dragons: Attack Wing – Sun Elf Troop Expansion Pack","2","99","30","30","30","2014","1,31","1,31","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Dungeons & Dragons: Attack Wing – Sun Elf Wizard Expansion Pack","161292","0","","0","1","0","0","0","0","0","0","0","3","","","","","","29329811","5.54588","7.515","2","0","355","thing","Dungeons & Dragons: Attack Wing – Sun Elf Wizard Expansion Pack","2","99","30","30","30","2014","1,2,31","1,2,31","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Dungeons & Dragons: The Legend of Drizzt Board Game","91872","5","4","0","0","0","0","0","0","1","0","0","3","","","","","","28932664","6.75642","7.24756","2.589","659","12099","thing","Dungeons & Dragons: The Legend of Drizzt Board Game","1","5","60","60","60","2011","1,2,3,4,5","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Eclipse","72125","0","","0","0","0","0","0","0","0","0","0","4","","","","","","57655362","7.69367","7.88269","3.7004","56","26906","thing","Eclipse","2","6","180","180","60","2011","2,3,4,5,6","4,6","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Eclipse: Second Dawn for the Galaxy","246900","0","","0","0","0","0","0","0","0","0","1","4","","","","","","58518437","7.66035","8.73577","3.5291","64","6840","thing","Eclipse: Second Dawn for the Galaxy","2","6","200","200","60","2020","2,3,4,5,6","4,6","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Eldritch Horror","146021","6.5","5","0","0","0","0","0","0","1","0","0","3","","","","","","28932682","7.56158","7.79509","3.3189","86","45162","thing","Eldritch Horror","1","8","240","240","120","2013","1,2,3,4,5,6","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Eldritch Horror: Forsaken Lore","154842","0","","0","0","0","0","0","0","1","0","0","3","","","","","","29519880","7.57195","8.28183","3.1728","0","18554","thing","Eldritch Horror: Forsaken Lore","1","8","180","180","180","2014","1,2,3,4,5,6","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Eldritch Horror: Mountains of Madness","164167","0","","0","0","0","0","0","0","1","0","0","3","","","","","","29519881","7.1909","8.21045","3.2673","0","11727","thing","Eldritch Horror: Mountains of Madness","1","8","180","180","180","2014","1,2,3,4,5,6","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Elysium","163968","7","1","0","0","0","0","0","0","1","0","0","4","","","","","","31893281","6.94359","7.22459","2.7599","452","12496","thing","Elysium","2","4","60","60","60","2015","2,3,4","","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Empires: Age of Discovery","173442","8","1","0","1","0","0","0","0","0","0","0","1","","","","","","29614790","6.79813","7.88237","3.35","602","2991","thing","Empires: Age of Discovery","2","6","150","150","50","2015","3,4,5,6","4,5","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Empires: Age of Discovery – Denmark Player Board and White Figures","186013","0","","0","1","0","0","0","0","0","0","0","3","","","","","","68340936","5.56246","7.68913","2.5","0","371","thing","Empires: Age of Discovery – Denmark Player Board and White Figures","2","6","150","150","50","2015","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Empires: Age of Discovery – Ottoman Player Board and Gold Figures","186015","0","","0","1","0","0","0","0","0","0","0","3","","","","","","68340938","5.56521","7.7383","2.6667","0","376","thing","Empires: Age of Discovery – Ottoman Player Board and Gold Figures","2","6","150","150","50","2015","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Empires: Age of Discovery – Prussia Player Board and Black Figures","186016","0","","0","1","0","0","0","0","0","0","0","3","","","","","","68340939","5.5545","7.53954","2.6667","0","354","thing","Empires: Age of Discovery – Prussia Player Board and Black Figures","2","6","150","150","50","2015","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Endangered Orphans of Condyle Cove","207687","5","1","0","0","0","0","0","0","0","0","0","3","","","","","","45006905","5.77201","6.37677","1.6364","4034","2283","thing","Endangered Orphans of Condyle Cove","1","4","30","30","10","2017","1,2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Endeavor","33160","8","1","0","0","0","0","0","0","1","0","0","4","","","","","","44682086","7.09901","7.39593","2.9067","309","7285","thing","Endeavor","3","5","90","90","90","2009","3,4,5","4,5","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Endeavor: Age of Sail","233398","8","1","0","1","0","0","0","0","0","0","0","3","","","","","","44715790","7.44889","7.99544","2.7929","119","9467","thing","Endeavor: Age of Sail","2","5","90","90","60","2018","2,3,4,5","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Burnt Island Games; Grand Gamers Guild","English","2018","English deluxe edition"
"Endeavor: Age of Sail – Charter Companies Mini-Expansion","247514","0","","0","1","0","0","0","0","0","0","0","1","","","","","","58842212","5.72356","7.89795","2.75","0","1269","thing","Endeavor: Age of Sail – Charter Companies Mini-Expansion","2","5","90","90","60","2018","2,3,4,5","4,5","","","","","","","","expansion","","","","","","","","","","","","Burnt Island Games; Grand Gamers Guild","English","2018","English edition"
"Era: Medieval Age","270971","6","1","0","0","0","0","0","0","0","0","0","4","","","","","","66284629","6.51594","7.25669","2.3051","1026","4187","thing","Era: Medieval Age","1","4","60","60","45","2019","1,2,3,4","2,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Ethnos","206718","0","","0","0","0","0","0","0","0","0","1","4","","","","","","44917874","7.18978","7.47754","2.0208","250","12953","thing","Ethnos","2","6","60","60","45","2017","2,3,4,5,6","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Everdell","199792","0","","0","0","0","0","0","0","0","0","1","4","","","","","","66001031","7.85999","8.10204","2.8112","28","37632","thing","Everdell","1","4","80","80","40","2018","1,2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Evolution","155703","0","","0","0","0","0","0","0","0","0","0","1","","","","","","35233022","6.91106","7.12134","2.4353","492","19304","thing","Evolution","2","6","60","60","60","2014","2,3,4,5,6","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Evolution: Climate","182134","8","4","0","1","0","0","0","0","0","0","0","3","","","","","","33640174","7.12715","7.60839","2.7829","294","11321","thing","Evolution: Climate","2","6","60","60","60","2016","2,3,4,5,6","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Evolution: Flight","176173","0","","0","1","0","0","0","0","0","0","0","3","","","","","","33640171","6.30968","7.35732","2.5714","0","5547","thing","Evolution: Flight","2","6","60","60","60","2015","2,3,4,5,6","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Evolution: Gigantism Promo","207293","0","","0","1","0","0","0","0","0","0","0","3","","","","","","39540786","5.5798","7.25523","2","0","740","thing","Evolution: Gigantism Promo","2","6","0","0","0","2016","","","","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Evolution: Promo Pack III","206072","0","","0","1","0","0","0","0","0","0","0","3","","","","","","39540787","5.70563","7.64049","2","0","1559","thing","Evolution: Promo Pack III","2","6","60","0","60","2016","","","","Unplayable in another language","","","","","","expansion","","","","","","","","","","","","","","",""
"Evolution: Scenario Cards","195586","0","","0","1","0","0","0","0","0","0","0","3","","","","","","39540788","5.55705","7.57885","1","0","393","thing","Evolution: Scenario Cards","2","6","75","75","45","2016","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Exit: The Game – Dead Man on the Orient Express","226522","0","","0","1","0","0","0","0","0","0","0","3","","","","","","71331902","6.95949","7.68469","2.7358","438","6993","thing","Exit: The Game – Dead Man on the Orient Express","1","4","120","120","60","2017","1,2,3,4","2","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Exit: The Game – The Pharaoh's Tomb","203416","7","1","0","1","0","0","0","0","0","0","0","3","","","","","","44514208","6.82358","7.21367","2.8182","571","10091","thing","Exit: The Game – The Pharaoh's Tomb","1","6","90","90","45","2016","1,2,3,4","2","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"A Fake Artist Goes to New York","135779","5","4","0","0","0","0","0","0","1","0","0","1","","Gift to Marina.","","","","35900334","6.75584","7.16568","1.1522","660","9145","thing","A Fake Artist Goes to New York","5","10","20","20","20","2012","5,6,7,8,9,10","6,7","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Fallout","232918","0","","0","0","0","0","0","0","0","0","0","4","","","","","","44428905","6.5013","6.94657","2.98","1056","12813","thing","Fallout","1","4","180","180","120","2017","1,2,3","1","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Far East War 1592","187121","5","1","0","0","0","0","0","0","0","0","0","3","","","","","","37511176","5.6125","7.04684","2.5714","6826","338","thing","Far East War 1592","2","4","120","120","90","2016","2,4","2,4","","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"A Feast for Odin","177736","0","","0","0","0","0","0","0","0","0","0","3","","","","","","39985891","7.93617","8.19572","3.8422","22","24657","thing","A Feast for Odin","1","4","120","120","30","2016","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Fields of Arle","159675","0","","0","0","0","0","0","0","0","0","0","4","","","","","","29507750","7.65626","8.08887","3.8787","67","13336","thing","Fields of Arle","1","2","120","120","60","2014","1,2","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"First Class: All Aboard the Orient Express!","206941","0","","0","0","0","0","0","0","0","0","1","3","","","","","","40241082","6.97157","7.45643","2.7869","423","6611","thing","First Class: All Aboard the Orient Express!","2","4","80","80","40","2016","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"First Martians: Adventures on the Red Planet","192455","0","","0","0","0","0","0","0","0","0","0","1","","","","","","33529701","6.09242","6.51592","4.1436","2106","9681","thing","First Martians: Adventures on the Red Planet","1","4","90","90","60","2017","1,2,3,4","1","14+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Five Tribes","157354","8","4","0","1","0","0","0","0","0","0","0","3","","","","","","32407745","7.63068","7.77805","2.8557","74","43137","thing","Five Tribes","2","4","80","80","40","2014","2,3,4","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Five Tribes: The Artisans of Naqala","176677","0","","0","1","0","0","0","0","0","0","0","1","","","","","","33069860","7.21094","8.11481","2.8095","0","10749","thing","Five Tribes: The Artisans of Naqala","2","4","80","80","40","2015","2,3,4","3","12+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Flamme Rouge","199478","7.5","2","0","0","0","0","0","0","0","0","1","3","","","","","","65644616","7.26983","7.54364","1.6739","207","17115","thing","Flamme Rouge","2","4","45","45","30","2016","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Flick 'em Up!","169124","6.5","4","0","1","0","0","0","0","0","0","0","2","","","","","","29433665","6.66488","6.92779","1.328","796","14743","thing","Flick 'em Up!","2","10","45","45","30","2015","2,3,4,5,6","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Fog of Love","175324","0","","0","0","0","0","0","0","0","0","1","3","","","","","","54880058","6.55524","6.89866","2.24","951","12650","thing","Fog of Love","2","2","120","120","60","2017","2","2","16+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Food Chain Magnate","175914","10","4","0","1","0","0","0","0","0","0","0","1","","","","","","31926271","7.83515","8.12187","4.1936","31","17096","thing","Food Chain Magnate","2","5","240","240","120","2015","2,3,4,5","3,4","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Food Chain Magnate: The Ketchup Mechanism & Other Ideas","261526","0","","0","0","0","0","0","0","0","0","1","1","","","","","","54677953","6.39162","8.99807","4.45","0","3376","thing","Food Chain Magnate: The Ketchup Mechanism & Other Ideas","2","6","240","240","120","2019","2,3,4,5","3","12+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Forbidden Stars","175155","0","","0","1","0","0","0","1","0","0","0","1","","Extensive use of text - massive conversion needed to be playable","","","","37771731","7.48004","7.97361","3.8321","111","12191","thing","Forbidden Stars","2","4","180","180","120","2015","2,3,4","3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Forge War","146221","0","","0","0","0","0","0","0","0","0","1","4","","","","","","34070526","6.32045","7.24993","3.7658","1414","2864","thing","Forge War","1","4","180","180","60","2015","1,2,3,4","3","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Francis Drake","140603","8","4","0","1","0","0","0","0","0","0","0","1","","","","","","29614780","6.9067","7.4139","2.9208","499","6176","thing","Francis Drake","3","5","120","120","90","2014","4,5","5","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Eagle-Gryphon Games; HUCH!; Kayal Games","English; German","2014","Huch! & Friends English/German edition"
"Francis Drake: The Expansions","170813","0","","0","1","0","0","0","0","0","0","0","1","","","","","","29614782","5.69988","7.51184","2.5","0","1302","thing","Francis Drake: The Expansions","2","6","90","90","90","2015","4,5,6","6","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Freedom: The Underground Railroad","119506","7","2","0","0","0","0","0","0","1","0","0","3","","","","","","34063669","6.97532","7.58491","2.9062","417","6239","thing","Freedom: The Underground Railroad","1","4","120","120","60","2012","1,2,3,4","","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Friday","43570","7","8","0","1","0","0","0","0","0","0","0","3","","","","","","34073237","6.96848","7.14017","2.1455","428","29908","thing","Friday","1","1","25","25","25","2011","1","1","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Fury of Dracula (Second Edition)","20963","0","","0","0","0","0","0","0","0","0","0","3","","","","","","29414684","6.82485","7.11855","2.9505","570","9597","thing","Fury of Dracula (Second Edition)","2","5","180","180","180","2005","2,3,4,5","5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Fury of Dracula (Third/Fourth Edition)","181279","4","1","0","0","0","0","0","0","1","0","0","4","","","","","","31400642","7.21425","7.49873","3.2432","233","21981","thing","Fury of Dracula (Third/Fourth Edition)","2","5","180","180","120","2015","2,3,4,5","3,5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Galaxy Trucker","31481","0","","0","0","0","0","0","0","0","0","0","3","","","","","","29414629","7.27524","7.39682","2.3258","203","33711","thing","Galaxy Trucker","2","4","60","60","60","2007","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"The Gallerist","125153","7","5","4","0","0","0","0","0","1","0","0","3","","","","","","28938353","7.68706","8.06279","4.2656","58","14559","thing","The Gallerist","1","4","150","150","60","2015","1,2,3,4","3,4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"A Game of Thrones: The Board Game (Second Edition)","103343","6","2","0","0","0","0","0","0","0","0","0","3","","","","","","30543281","7.38597","7.59037","3.7215","146","40092","thing","A Game of Thrones: The Board Game (Second Edition)","3","6","240","240","120","2011","4,5,6","6","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Ghost Stories","37046","7","10","0","0","0","0","0","0","1","0","0","3","","Gift to Andre.","","","","29211155","7.14321","7.31438","2.9043","285","25891","thing","Ghost Stories","1","4","60","60","60","2008","1,2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"GKR: Heavy Hitters","187700","0","","0","1","0","0","0","1","0","0","0","1","","Extensive use of text - massive conversion needed to be playable","","","","57725216","6.32315","7.69332","2.7619","1401","2806","thing","GKR: Heavy Hitters","1","4","120","120","60","2018","2,3,4","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Glen More","66362","0","","0","0","0","0","0","0","0","0","0","4","","","","","","32665782","7.03127","7.31472","2.6737","376","8128","thing","Glen More","2","5","70","70","45","2010","2,3,4,5","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Glen More II: Chronicles","265188","0","","0","0","0","0","0","0","0","0","1","4","","","","","","58572685","7.27619","8.00396","3.0494","202","7753","thing","Glen More II: Chronicles","2","4","120","120","90","2019","2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Gloomhaven","174430","9","6","0","1","0","0","0","0","0","0","0","3","","","","","","39526327","8.53137","8.7687","3.8677","1","73379","thing","Gloomhaven","1","4","120","120","60","2017","1,2,3,4","3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Gloomhaven: Forgotten Circles","250337","0","","0","0","0","0","0","0","0","0","1","2","","","","","","59231468","6.53378","7.93395","4.1818","0","11700","thing","Gloomhaven: Forgotten Circles","1","4","120","120","60","2019","1,3,4","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Gloomhaven: Solo Scenarios","226868","0","","0","1","0","0","0","0","0","0","0","3","","","","","","59231466","6.37141","8.52659","4.1333","0","6391","thing","Gloomhaven: Solo Scenarios","1","1","0","0","0","2017","1","1","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Grand Austria Hotel","182874","0","","0","0","0","0","0","0","0","0","0","3","","","","","","32665867","7.58705","7.86867","3.2226","81","16724","thing","Grand Austria Hotel","2","4","120","120","60","2015","2,3","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"El Grande","93","0","","0","0","0","0","0","0","0","0","1","3","","","","","","57655397","7.58046","7.74999","3.0513","83","23108","thing","El Grande","2","5","120","120","60","1995","3,4,5","5","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"El Grande Big Box","171908","0","","0","0","0","0","0","0","0","0","1","5","","","","","","31910638","7.1845","8.24398","2.7742","0","6405","thing","El Grande Big Box","2","5","90","90","90","2015","3,4,5","5","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"La Granja","146886","6","1","0","0","0","0","0","0","1","0","0","1","","","","","","29668337","7.32265","7.66116","3.583","177","11618","thing","La Granja","1","4","120","120","90","2014","1,2,3,4","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Great Western Trail","193738","8.5","4","0","1","0","0","0","0","0","0","0","1","","","","","","37496341","8.12932","8.30271","3.7092","10","38080","thing","Great Western Trail","2","4","150","150","75","2016","2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Great Zimbabwe","111341","6","1","0","1","1","0","0","0","0","0","0","1","","Some necessary text - easily memorized or small crib sheet","","","","37496388","7.02928","7.79082","3.6976","380","3644","thing","The Great Zimbabwe","2","5","150","150","90","2012","2,3,4,5","4","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"The Grizzled","171668","7","14","0","1","0","0","0","0","0","0","0","3","","","","","","31656175","6.967","7.19066","1.949","429","20579","thing","The Grizzled","2","5","30","30","30","2015","3,4,5","4,5","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"The Grizzled: At Your Orders!","194562","0","","0","1","0","0","0","0","0","0","0","1","","","","","","33441001","6.68939","7.67417","2.2353","0","7541","thing","The Grizzled: At Your Orders!","1","5","30","30","30","2016","1,2,3,4,5","4,5","12+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Guns & Steel","176334","6","3","0","0","0","0","0","0","1","0","0","3","","","","","","30576118","5.79549","6.3354","2.3889","3820","2119","thing","Guns & Steel","2","4","60","60","45","2015","2,3","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Hab & Gut","38863","0","","0","0","0","0","0","0","0","0","1","4","","","","","","45331640","6.35108","7.08419","2.1807","1337","1638","thing","Hab & Gut","3","5","45","45","45","2008","3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Hanabi","98778","0","","0","0","0","0","0","0","0","0","0","3","","","","","","33069960","6.98007","7.07746","1.6997","412","66276","thing","Hanabi","2","5","25","25","25","2010","2,3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Hansa Teutonica","43015","8","1","0","1","0","0","0","0","0","0","0","3","","","","","","32893868","7.40887","7.67135","3.1154","136","11436","thing","Hansa Teutonica","2","5","90","90","45","2009","3,4,5","5","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Hansa Teutonica: Big Box","286749","0","","0","0","0","0","0","0","0","0","1","2","","","","","","68476216","6.61401","8.47716","2.75","0","3598","thing","Hansa Teutonica: Big Box","3","5","90","90","45","2020","3,4,5","5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Hansa Teutonica: Britannia","162179","0","","0","1","0","0","0","0","0","0","0","1","","","","","","45283671","6.18593","8.10051","3.4545","0","2552","thing","Hansa Teutonica: Britannia","2","5","90","90","45","2014","3,4,5","4,5","12+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Hansa Teutonica: East Expansion","83404","0","","0","0","0","0","0","0","0","0","0","1","","","","","","45283669","6.39724","8.07501","3.1667","0","3156","thing","Hansa Teutonica: East Expansion","3","5","75","75","45","2010","3,4,5","","12+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Happy Pigs","156138","6.5","1","0","1","1","0","0","1","0","0","0","1","","","","","","37496420","6.14509","6.82551","2.3095","1922","2456","thing","Happy Pigs","2","6","45","45","30","2013","3,4,5,6","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Haspelknecht","169794","5","1","0","0","0","0","0","0","0","0","0","3","","","","","","32710662","6.40458","7.26016","3.0412","1224","3092","thing","Haspelknecht","2","4","90","90","60","2015","2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Hostage Negotiator","134253","0","","0","0","0","0","0","0","0","0","0","4","","","","","","44641001","6.482","6.87538","2","1091","8684","thing","Hostage Negotiator","1","1","20","20","20","2015","1","1","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"IKI","177478","7.5","3","0","1","0","0","0","0","0","0","0","1","","","","","","30634229","6.27605","7.55159","2.9565","1527","1353","thing","IKI","2","4","90","90","60","2015","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"IKI: Essen 2015 Promo","186452","0","","0","1","0","0","0","0","0","0","0","1","","","","","","35859852","0","7.02941","2","0","89","thing","IKI: Essen 2015 Promo","2","4","90","90","60","2015","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"In the Year of the Dragon: 10th Anniversary","214000","0","","0","1","0","0","0","1","0","0","0","3","","","","","","38416488","6.50102","7.60565","2.9792","0","3624","thing","In the Year of the Dragon: 10th Anniversary","2","5","100","100","75","2017","2,3,4,5","4,5","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Indonesia","19777","0","","0","1","0","0","0","1","0","0","0","1","","Some necessary text - easily memorized or small crib sheet","","","","37496373","7.19658","7.86094","3.9736","245","4843","thing","Indonesia","2","5","240","240","180","2016","3,4,5","4","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Splotter Spellen","English; German","2016","Second edition"
